geo_type;region;date;driving;walking;transit
city;Amsterdam;13.01.2020;0;0;0
city;Amsterdam;14.01.2020;3.53;-1.72;0.27
city;Amsterdam;15.01.2020;4.23;0.39;1.25
city;Amsterdam;16.01.2020;3.92;8.96;3.15
city;Amsterdam;17.01.2020;11.95;38;21.69
city;Amsterdam;18.01.2020;8.41;66.43;30.91
city;Amsterdam;19.01.2020;-5.74;20.34;13.07
city;Amsterdam;20.01.2020;0.26;1.55;0.35
city;Amsterdam;21.01.2020;14.47;-1.74;0.09
city;Amsterdam;22.01.2020;3.76;1.09;-0.21
city;Amsterdam;23.01.2020;2.96;9.53;4.22
city;Amsterdam;24.01.2020;13.9;43.01;26.94
city;Amsterdam;25.01.2020;12.16;67.23;30.72
city;Amsterdam;26.01.2020;-3.41;19.62;15.71
city;Amsterdam;27.01.2020;3.03;1.7;2.57
city;Amsterdam;28.01.2020;1.37;-4.65;1.24
city;Amsterdam;29.01.2020;0.58;-0.12;2.81
city;Amsterdam;30.01.2020;9.08;16.44;11.75
city;Amsterdam;31.01.2020;16.11;53.44;32.62
city;Amsterdam;01.02.2020;14.34;79.81;42.68
city;Amsterdam;02.02.2020;-3.38;19.12;24.98
city;Amsterdam;03.02.2020;1.52;11.3;12.22
city;Amsterdam;04.02.2020;4.52;2.86;7.06
city;Amsterdam;05.02.2020;1.78;7.69;8.04
city;Amsterdam;06.02.2020;5.71;20.15;13.14
city;Amsterdam;07.02.2020;18.63;55.85;38.17
city;Amsterdam;08.02.2020;16.19;79.89;41.66
city;Amsterdam;09.02.2020;-14.59;-1.32;16.47
city;Amsterdam;10.02.2020;7.81;-2.25;14.35
city;Amsterdam;11.02.2020;7.83;-4.38;9
city;Amsterdam;12.02.2020;6.13;-2.66;4
city;Amsterdam;13.02.2020;19.76;11.58;22.03
city;Amsterdam;14.02.2020;22.19;68.96;44.19
city;Amsterdam;15.02.2020;13.63;93.16;54.58
city;Amsterdam;16.02.2020;-4.51;29.84;46.51
city;Amsterdam;17.02.2020;2.66;38;37.45
city;Amsterdam;18.02.2020;3.15;33.26;30.62
city;Amsterdam;19.02.2020;1.2;26;27.17
city;Amsterdam;20.02.2020;6.05;25.34;31.65
city;Amsterdam;21.02.2020;10.8;59.4;38.22
city;Amsterdam;22.02.2020;6.74;76.52;50.93
city;Amsterdam;23.02.2020;-7.55;24.8;32.48
city;Amsterdam;24.02.2020;8.17;13.79;29.85
city;Amsterdam;25.02.2020;3.74;22.72;19.73
city;Amsterdam;26.02.2020;8.59;16.05;18.26
city;Amsterdam;27.02.2020;12.94;25.94;30.16
city;Amsterdam;28.02.2020;20.44;55.09;47.33
